iter	MAE
0	8.023208188
1	7.955597133
2	7.859991819
3	7.758801798
4	7.680104393
5	7.594169093
6	7.525577617
7	7.46212563
8	7.392670056
9	7.351321802
10	7.305062929
11	7.263514738
12	7.237836331
13	7.185436473
14	7.13643969
15	7.084407033
16	7.035057892
17	7.008085225
18	6.977258611
19	6.934150668
20	6.902950773
21	6.879590227
22	6.849470374
23	6.823403188
24	6.775868183
25	6.741262615
26	6.708814535
27	6.679444925
28	6.643021365
29	6.625152587
30	6.586591804
31	6.567338967
32	6.531589247
33	6.504503555
34	6.486636568
35	6.456070356
36	6.436469694
37	6.416997625
38	6.402870609
39	6.386261985
40	6.375973625
41	6.354046382
42	6.335032306
43	6.310702081
44	6.286972247
45	6.264653708
46	6.246594177
47	6.238497805
48	6.219815568
49	6.209479103
50	6.195744092
51	6.181124994
52	6.162289848
53	6.147325421
54	6.130084807
55	6.118432477
56	6.103329577
57	6.092645668
58	6.078144957
59	6.064926075
60	6.052881352
61	6.041940412
62	6.023982355
63	6.011588534
64	5.99865398
65	5.992098229
66	5.976041917
67	5.970040341
68	5.957776566
69	5.944787767
70	5.931896255
71	5.919850109
72	5.910992874
73	5.899991594
74	5.891582709
75	5.886205891
76	5.881711732
77	5.875301493
78	5.869622905
79	5.862835521
80	5.852745201
81	5.845723664
82	5.837486499
83	5.827756633
84	5.817951296
85	5.806560273
86	5.802082352
87	5.79638021
88	5.790076861
89	5.776194597
90	5.772215813
91	5.760986999
92	5.755481805
93	5.747664481
94	5.742144405
95	5.734288775
96	5.727680014
97	5.719773004
98	5.712254899
99	5.706724922
100	5.703947911
101	5.694370997
102	5.687463713
103	5.678972676
104	5.674360739
105	5.665607878
106	5.66037059
107	5.652522406
108	5.643766856
109	5.63268225
110	5.626584538
111	5.617209
112	5.61031938
113	5.597827212
114	5.592616866
115	5.58585241
116	5.57525086
117	5.571242393
118	5.561085089
119	5.554917484
120	5.548903699
121	5.542761285
122	5.536261949
123	5.525794918
124	5.518760103
125	5.511107118
126	5.503386853
127	5.500673187
128	5.495186717
129	5.487860271
130	5.483933372
131	5.479677335
132	5.475377791
133	5.472053373
134	5.465907254
135	5.461011582
136	5.454050663
137	5.450592752
138	5.448435694
139	5.443572746
140	5.439005822
141	5.433884582
142	5.428582167
143	5.423054697
144	5.418120847
145	5.406101438
146	5.401193544
147	5.395831961
148	5.390309489
149	5.382631782
150	5.380964809
151	5.373549337
152	5.370494433
153	5.366298567
154	5.360095558
155	5.353863017
156	5.341590695
157	5.339112747
158	5.335229805
159	5.323287249
160	5.319091894
161	5.311328286
162	5.30415527
163	5.301685703
164	5.293427016
165	5.288435182
166	5.280096204
167	5.275522052
168	5.271054786
169	5.263111563
170	5.260193372
171	5.253809554
172	5.248902021
173	5.240761052
174	5.237304102
175	5.232914194
176	5.222774734
177	5.217160647
178	5.212964843
179	5.208294391
180	5.204985355
181	5.202219763
182	5.19655529
183	5.18680523
184	5.179889244
185	5.173637289
186	5.165736
187	5.15884378
188	5.151813088
189	5.147585409
190	5.144651623
191	5.138466306
192	5.131878265
193	5.128948921
194	5.122385236
195	5.11653813
196	5.114419552
197	5.108781111
198	5.104588023
199	5.101736965
200	5.094548025
201	5.086354567
202	5.080859921
203	5.075017738
204	5.069433519
205	5.063922683
206	5.059541547
207	5.054617857
208	5.048369606
209	5.043428537
210	5.038673634
211	5.034885247
212	5.027784505
213	5.020407888
214	5.01480815
215	5.009581531
216	5.004100556
217	4.997762547
218	4.995531252
219	4.993752573
220	4.987830886
221	4.984059005
222	4.981282453
223	4.977292461
224	4.973814691
225	4.968890731
226	4.964777308
227	4.962531027
228	4.957315093
229	4.954567806
230	4.951742432
231	4.946629377
232	4.941912315
233	4.936002564
234	4.930100437
235	4.92713151
236	4.923075641
237	4.91943623
238	4.916664356
239	4.914497555
240	4.911617955
241	4.909089466
242	4.902964138
243	4.900041794
244	4.898548684
245	4.895694666
246	4.890269042
247	4.885587408
248	4.877627917
249	4.872509771
250	4.868534128
251	4.863325882
252	4.858203409
253	4.856600147
254	4.855706867
255	4.851813402
256	4.847187456
257	4.842780947
258	4.836941366
259	4.834517149
260	4.832031812
261	4.829033731
262	4.823841033
263	4.821418275
264	4.81862047
265	4.815104925
266	4.810100947
267	4.807865371
268	4.804768569
269	4.802206799
270	4.795837265
271	4.791140873
272	4.788492637
273	4.78665615
274	4.781592374
275	4.778343112
276	4.774332192
277	4.770899348
278	4.76770474
279	4.765260091
280	4.762966804
281	4.758862339
282	4.75750152
283	4.755306922
284	4.748751218
285	4.745905689
286	4.744604289
287	4.741294505
288	4.737688438
289	4.73706005
290	4.735222232
291	4.733299409
292	4.731520189
293	4.726023726
294	4.72179292
295	4.719018931
296	4.716824939
297	4.713771633
298	4.710691512
299	4.708888769
300	4.706271724
301	4.705650177
302	4.703373609
303	4.701633387
304	4.69835999
305	4.696869758
306	4.69398987
307	4.691803152
308	4.690291685
309	4.685905855
310	4.68293049
311	4.679092042
312	4.676887764
313	4.675986191
314	4.673124543
315	4.671366272
316	4.66921388
317	4.665987476
318	4.663019941
319	4.660422103
320	4.656136322
321	4.654338935
322	4.651648137
323	4.647787089
324	4.642897622
325	4.639149651
326	4.637175455
327	4.633729341
328	4.630251729
329	4.62826047
330	4.624958543
331	4.623070901
332	4.619161891
333	4.614493994
334	4.61020216
335	4.604750942
336	4.600595723
337	4.598846454
338	4.597064803
339	4.595989659
340	4.593509531
341	4.58993468
342	4.586637237
343	4.582438741
344	4.578155716
345	4.575722698
346	4.573253394
347	4.564869178
348	4.5613288
349	4.557668286
350	4.556121187
351	4.554479258
352	4.547694335
353	4.545540899
354	4.543265941
355	4.54188218
356	4.538281818
357	4.536478743
358	4.534558948
359	4.531329703
360	4.530029857
361	4.528170555
362	4.525819515
363	4.525038841
364	4.524075958
365	4.522115966
366	4.518578233
367	4.512573957
368	4.510786523
369	4.507314135
370	4.50530261
371	4.503000594
372	4.501105735
373	4.499314474
374	4.492969874
375	4.491860224
376	4.490312766
377	4.485855873
378	4.48241081
379	4.479584181
380	4.477150702
381	4.476275463
382	4.473838631
383	4.472019326
384	4.470574216
385	4.468758437
386	4.466707322
387	4.465027461
388	4.463065272
389	4.461254841
390	4.460293329
391	4.458176992
392	4.454502676
393	4.451288584
394	4.44822613
395	4.446152326
396	4.443289102
397	4.439135472
398	4.435778341
399	4.433359819
400	4.431810464
401	4.430471156
402	4.42783806
403	4.42577118
404	4.423145846
405	4.420077408
406	4.418265156
407	4.417267158
408	4.414243003
409	4.412085229
410	4.410641246
411	4.409664898
412	4.406938817
413	4.404559822
414	4.40067005
415	4.398497978
416	4.395159501
417	4.392747139
418	4.3918623
419	4.390218812
420	4.388591702
421	4.383200896
422	4.381696977
423	4.37896984
424	4.377415578
425	4.371628088
426	4.370778839
427	4.370038585
428	4.368464912
429	4.368109987
430	4.3666854
431	4.364613034
432	4.364075029
433	4.363573453
434	4.360516727
435	4.356207113
436	4.354105351
437	4.353182595
438	4.352034268
439	4.351297521
440	4.35012509
441	4.346930128
442	4.345869974
443	4.343727293
444	4.34283304
445	4.341863364
446	4.339673595
447	4.337684612
448	4.336292647
449	4.335368803
450	4.333918325
451	4.332616731
452	4.331411498
453	4.328057033
454	4.325677873
455	4.3231227
456	4.322340538
457	4.321556451
458	4.320162452
459	4.318655605
460	4.317197131
461	4.315512293
462	4.312415233
463	4.310651945
464	4.308358467
465	4.306800908
466	4.303512536
467	4.30270836
468	4.301126306
469	4.296165639
470	4.29419031
471	4.291947718
472	4.289760232
473	4.287804694
474	4.285733708
475	4.284878034
476	4.28305481
477	4.280518098
478	4.276791249
479	4.27458062
480	4.271529829
481	4.270502112
482	4.269078387
483	4.268395072
484	4.267180114
485	4.265945496
486	4.264588151
487	4.263583654
488	4.261600536
489	4.25987614
490	4.259072392
491	4.257179275
492	4.255613178
493	4.255054641
494	4.253561031
495	4.252907235
496	4.250446738
497	4.249881013
498	4.248334285
499	4.246872785
500	4.245606987
501	4.244004408
502	4.242613893
503	4.241138957
504	4.238024981
505	4.236286203
506	4.235775412
507	4.234113528
508	4.233873989
509	4.232930602
510	4.232628735
511	4.230471883
512	4.228339334
513	4.226204854
514	4.224261981
515	4.223128784
516	4.220633495
517	4.219639812
518	4.218670335
519	4.216965216
520	4.215150366
521	4.21427262
522	4.212644275
523	4.211145359
524	4.211003275
525	4.208401692
526	4.20788935
527	4.205465295
528	4.203297951
529	4.201172062
530	4.200353599
531	4.199895692
532	4.197774023
533	4.195329675
534	4.192521673
535	4.189904529
