iter	Passed	Remaining
0	2	12032
1	3	9511
2	5	9278
3	7	8897
4	9	9568
5	13	11036
6	14	10353
7	15	9882
8	19	10745
9	63	31489
10	65	29654
11	87	36451
12	89	34156
13	93	33125
14	94	31568
15	96	29971
16	97	28630
17	98	27375
18	116	30556
19	118	29398
20	119	28329
21	121	27393
22	124	26951
23	126	26138
24	127	25380
25	128	24644
26	129	23927
27	130	23242
28	131	22596
29	132	22007
30	134	21491
31	143	22302
32	146	22010
33	148	21633
34	149	21212
35	156	21531
36	157	21146
37	159	20803
38	160	20399
39	161	20041
40	163	19721
41	164	19445
42	169	19554
43	170	19243
44	171	18933
45	173	18646
46	174	18372
47	175	18111
48	176	17852
49	177	17591
50	178	17335
51	179	17090
52	182	17050
53	184	16872
54	185	16658
55	186	16465
56	187	16260
57	188	16059
58	189	15892
59	190	15724
60	191	15542
61	192	15367
62	193	15198
63	195	15043
64	198	15100
65	200	14965
66	201	14836
67	202	14700
68	203	14572
69	204	14426
70	206	14301
71	207	14179
72	208	14049
73	209	13915
74	209	13781
75	211	13697
76	214	13685
77	215	13570
78	215	13445
79	216	13323
80	217	13201
81	218	13080
82	218	12965
83	219	12850
84	220	12750
85	221	12658
86	222	12557
87	223	12457
88	223	12358
89	224	12263
90	225	12171
91	227	12132
92	228	12070
93	229	11988
94	230	11904
95	231	11833
96	232	11764
97	233	11683
98	234	11601
99	235	11522
100	235	11443
101	236	11369
102	237	11295
103	238	11225
104	239	11160
105	240	11091
106	241	11042
107	244	11055
108	245	11008
109	246	10974
110	247	10916
111	248	10852
112	249	10794
113	250	10747
114	251	10687
115	252	10626
116	253	10575
117	254	10524
118	255	10468
119	259	10540
120	260	10508
121	261	10472
122	262	10427
123	264	10382
124	265	10350
125	266	10323
126	268	10289
127	269	10256
128	270	10221
129	273	10232
130	274	10208
131	275	10175
132	277	10149
133	278	10127
134	280	10105
135	281	10083
136	283	10059
137	284	10017
138	285	9981
139	294	10207
140	295	10186
141	296	10158
142	298	10129
143	299	10092
144	300	10060
145	302	10054
146	305	10097
147	313	10269
148	322	10485
149	324	10494
150	325	10462
151	327	10444
152	328	10407
153	329	10371
154	330	10336
155	335	10429
156	338	10442
157	343	10515
158	347	10568
159	356	10791
160	361	10862
161	367	10982
162	370	10994
163	372	10980
164	374	10972
165	377	10993
166	378	10965
167	382	10999
168	383	10974
169	386	10993
170	388	10975
171	391	10976
172	392	10948
173	393	10918
174	395	10897
175	399	10953
176	400	10925
177	402	10907
178	404	10881
179	406	10892
180	410	10917
181	415	11002
182	417	10980
183	419	10967
184	421	10974
185	425	11011
186	426	10982
187	427	10943
188	428	10906
189	429	10868
190	430	10835
191	431	10797
192	432	10759
193	432	10725
194	433	10689
195	450	11040
196	452	11037
197	453	11006
198	454	10970
199	455	10938
200	456	10897
201	459	10909
202	460	10870
203	461	10844
204	462	10807
205	462	10770
206	463	10733
207	464	10704
208	466	10704
209	469	10716
210	471	10699
211	472	10670
212	473	10644
213	474	10616
214	475	10591
215	476	10564
216	478	10535
217	479	10519
218	481	10507
219	483	10513
220	485	10500
221	486	10474
222	487	10444
223	488	10413
224	489	10392
225	491	10374
226	491	10344
227	492	10318
228	494	10295
229	495	10266
230	496	10244
231	497	10234
232	498	10206
233	499	10177
234	500	10147
235	501	10119
236	502	10092
237	502	10063
238	503	10037
239	505	10016
240	506	9994
241	507	9972
242	508	9950
243	509	9924
244	510	9900
245	512	9901
246	513	9882
247	514	9862
248	515	9841
249	516	9815
250	517	9790
251	518	9764
252	519	9740
253	519	9713
254	520	9685
255	521	9662
256	522	9637
257	522	9611
258	523	9585
259	524	9562
260	525	9539
261	526	9525
262	528	9520
263	529	9500
264	530	9479
265	531	9458
266	532	9433
267	533	9413
268	534	9392
269	535	9373
270	536	9354
271	536	9334
272	537	9314
273	538	9296
274	539	9277
275	541	9265
276	542	9254
277	543	9236
278	544	9218
279	545	9202
280	547	9187
281	548	9170
282	551	9191
283	552	9180
284	554	9174
285	557	9188
286	559	9187
287	561	9182
288	563	9179
289	565	9181
290	568	9195
291	569	9186
292	571	9173
293	574	9198
294	576	9202
295	579	9203
296	580	9199
297	582	9187
298	583	9172
299	584	9160
300	587	9175
301	590	9180
302	591	9168
303	593	9166
304	595	9165
305	597	9172
306	599	9167
307	603	9186
308	608	9232
309	611	9252
310	620	9347
311	625	9397
312	627	9399
313	630	9406
314	631	9394
315	632	9376
316	635	9382
317	636	9373
318	637	9361
319	640	9368
320	641	9357
321	643	9343
322	644	9329
323	645	9315
324	646	9302
325	647	9290
326	650	9289
327	651	9283
328	652	9269
329	653	9253
330	655	9241
331	656	9227
332	657	9216
333	658	9201
334	659	9189
335	661	9176
336	662	9169
337	664	9163
338	666	9167
339	667	9154
340	669	9142
341	670	9129
342	671	9119
343	672	9108
344	674	9097
345	675	9085
346	676	9074
347	678	9064
348	679	9059
349	681	9057
350	683	9049
351	684	9036
352	685	9023
